Title,Published_date,Views,Likes,Categories,Comments,Category_id,Source,Title_id
Cheap vs Midrange vs Expensive Phone - Should you spend more?,2025-03-22,2026243,78981,Science & Technology,5567,28,YoutubeAPI,0
Fastest Remote Control Car in the WORLD,2025-03-22,14217475,727365,Science & Technology,1363,28,YoutubeAPI,1
I tested the FIRST EVER limited Edition iPhone!,2025-03-22,5658980,155674,Science & Technology,4741,28,YoutubeAPI,2
7 WEIRDEST AirPod Cases!,2025-03-22,1048338,92471,Science & Technology,274,28,YoutubeAPI,3
The Best Phone Camera in the World,2025-03-22,2844343,195663,Science & Technology,2004,28,YoutubeAPI,4
The 2 Best Phone Cameras in the World.,2025-03-22,3808444,97766,Science & Technology,7034,28,YoutubeAPI,5
Level 1 vs Level 100 Lighter,2025-03-22,3045058,247664,Science & Technology,938,28,YoutubeAPI,6
I bought the Ultimate Survival Tech,2025-03-22,5486214,190403,Science & Technology,5845,28,YoutubeAPI,7
This Gadget BRICKS Your Phone!,2025-03-22,5214200,425427,Science & Technology,3628,28,YoutubeAPI,8
Oppo Find N5 Review - Samsung just got Demolished!?,2025-03-22,5283834,118022,Science & Technology,7068,28,YoutubeAPI,9
This Phone Gimbal Has an Insane Trick!,2025-03-22,404123,34733,Science & Technology,302,28,YoutubeAPI,10
13 Tragic Tech Fails that need to DIE,2025-03-22,3367293,121278,Science & Technology,4712,28,YoutubeAPI,11
5 Phone Cases With SECRET Abilities!,2025-03-22,4067973,254532,Science & Technology,667,28,YoutubeAPI,12
Samsung S25 Ultra Review - Things just got Messy.,2025-03-22,4163090,125078,Science & Technology,8998,28,YoutubeAPI,13
Is your phone DIRTIER than a Toilet?,2025-03-22,1346317,106279,Science & Technology,808,28,YoutubeAPI,14
Samsung S25 Ultra vs iPhone 16 Pro Max Camera Battle,2025-03-22,3806353,116154,Science & Technology,7645,28,YoutubeAPI,15
I tested the $2000 RTX 5090 Graphics Card,2025-03-22,4757461,134327,Science & Technology,6933,28,YoutubeAPI,16
Samsung S25 Ultra Hands On - The New Era,2025-03-22,5226475,173497,Science & Technology,11044,28,YoutubeAPI,17
6 Most CURSED Gadgets!,2025-03-22,3105245,197887,Science & Technology,622,28,YoutubeAPI,18
The Most Idiot-Proof Drone Ever,2025-03-22,1672395,94410,Science & Technology,680,28,YoutubeAPI,19
These iPhone Tricks Will Change Your Life,2025-03-22,2357411,148526,Science & Technology,996,28,YoutubeAPI,20
Which $0 Phone Case Wins?,2025-03-22,1645414,113191,Science & Technology,794,28,YoutubeAPI,21
I built the Dream Studio,2025-03-22,3102517,142032,Science & Technology,9356,28,YoutubeAPI,22
Asking My AI Glasses Harder and Harder Questions #raybanmeta,2025-03-22,1924428,137451,Science & Technology,602,28,YoutubeAPI,23
I built the Dream Smart Garden,2025-03-22,3098846,106977,Science & Technology,5184,28,YoutubeAPI,24
The DJI Air 3S Has A Secret,2025-03-22,1622037,100110,Science & Technology,642,28,YoutubeAPI,25
I built the Dream Smart Home Gym,2025-03-22,3005737,102019,Science & Technology,4547,28,YoutubeAPI,26
I built the Dream Smart Kitchen,2025-03-22,4601566,137496,Science & Technology,7447,28,YoutubeAPI,27
The INSANE Tech behind Beast Games,2025-03-22,4788051,168637,Science & Technology,6160,28,YoutubeAPI,28
Most Futuristic Christmas Tree!,2025-03-22,1750702,119787,Science & Technology,765,28,YoutubeAPI,29
I tested the 14 most OVERKILL Smartphone Gadgets,2025-03-22,3357356,89144,Science & Technology,2860,28,YoutubeAPI,30
The Most CUSTOMISABLE Phone Case!,2025-03-22,4175433,297388,Science & Technology,1370,28,YoutubeAPI,31
I built the Dream Smart Bedroom!,2025-03-22,3803019,124224,Science & Technology,6270,28,YoutubeAPI,32
I built the Dream Office Setup!,2025-03-22,3976481,143331,Science & Technology,5840,28,YoutubeAPI,33
Smartest Robot Vacuum EVER,2025-03-22,707656,46662,Science & Technology,426,28,YoutubeAPI,34
The BEST Smartphones of 2024!,2025-03-22,4906273,169879,Science & Technology,11067,28,YoutubeAPI,35
Can you hear this!?,2025-03-22,6780358,471258,Science & Technology,15336,28,YoutubeAPI,36
I built the DREAM Smart Living Room!,2025-03-22,4971513,164787,Science & Technology,8018,28,YoutubeAPI,37
They put AI...into a Lamp...,2025-03-22,925003,53692,Science & Technology,666,28,YoutubeAPI,38
I bought every iPad EVER!,2025-03-22,4661842,140674,Science & Technology,6496,28,YoutubeAPI,39
I built the DREAM Gaming Setup!,2025-03-22,4483002,194494,Science & Technology,8731,28,YoutubeAPI,40
The Smallest Microscope in the World!,2025-03-22,14204588,772275,Science & Technology,2339,28,YoutubeAPI,41
I tested the Craziest Xiaomi Gadgets!,2025-03-22,10880392,276256,Science & Technology,10462,28,YoutubeAPI,42
I bought my Dream House!,2025-03-22,4056676,209352,Science & Technology,11535,28,YoutubeAPI,43
My last video here,2025-03-22,4911022,357076,Science & Technology,25354,28,YoutubeAPI,44
I bought the most BEAUTIFUL Phones on the Internet!,2025-03-22,4897133,156329,Science & Technology,6786,28,YoutubeAPI,45
The TRIPLE FOLDING phone has a Problem.,2025-03-22,4599070,125205,Science & Technology,6534,28,YoutubeAPI,46
13 Most EMBARRASSING Tech Fails of all time.,2025-03-22,4731137,142434,Science & Technology,5126,28,YoutubeAPI,47
Controlling a Bird With My Phone,2025-03-22,4698397,277085,Science & Technology,1343,28,YoutubeAPI,48
Why Google Search is Falling Apart.,2025-03-22,4122076,199013,Science & Technology,16270,28,YoutubeAPI,49
"Kathua Encounter LIVE: Massive Encounter In J&K | Joint Operation By Army, Cops And Paramilitary",2025-03-22,756,16,News & Politics,0,25,YoutubeAPI,50
CM Yogi Press Conference Live: Yogi Adityanath Government Competes 8 Years Of Governance | Yogi Live,2025-03-22,362,11,News & Politics,0,25,YoutubeAPI,51
Rajya Sabha LIVE: Heated Debate In Rajya Sabha | Budget Session  |WAQF Bill | Opposition Vs BJP |,2025-03-22,811,8,News & Politics,0,25,YoutubeAPI,52
Anti-Delimitation Meeting News LIVE: Oppn Leaders Gather In Chennai for Anti-Delimitation Meeting,2025-03-22,1434,14,News & Politics,0,25,YoutubeAPI,53
Rajya Sabha LIVE: | Budget Session |WAQF Bill | Opposition Vs BJP |India Today,2025-03-22,68,1,News & Politics,0,25,YoutubeAPI,54
"Cash Found At Delhi High Court Judge Yashwant Varma's House, Scandal Raised In Rajya Sabha",2025-03-22,632,8,News & Politics,0,25,YoutubeAPI,55
Top Hamas Political Leader Killed In Israeli Strikes On Key South Gaza Hospital,2025-03-22,69,4,News & Politics,0,25,YoutubeAPI,56
Manus AI vs Chat GPT Which is REALLY Better for You,2025-03-22,26,3,News & Politics,0,25,YoutubeAPI,57
"Karnataka Sex Scandal: Honey Trap Rocks Congress, Rajanna To Meet DGP | India Today",2025-03-22,118,1,News & Politics,0,25,YoutubeAPI,58
Rajya Sabha LIVE: | Budget Session |WAQF Bill | Opposition Vs BJP |India Today,2025-03-22,289,9,News & Politics,3,25,YoutubeAPI,54
Diplomacy In The Age Of Disruptions: EAM S Jaishankar Speech At Business Today MindRush 2025,2025-03-22,677,10,News & Politics,0,25,YoutubeAPI,59
Lok Sabha Live: Parliament Budget Session 2025 | WAQF (Amendment) Bill | Rahul Gandhi In Lok Sabha,2025-03-22,0,2,News & Politics,0,25,YoutubeAPI,60
Nagpur Riot Mastermind Fahim's House Faces Demolition Despite Supreme Court Curbs | India Today,2025-03-22,1087,34,News & Politics,21,25,YoutubeAPI,61
Lok Sabha Live: Parliament Budget Session 2025 | WAQF (Amendment) Bill | Rahul Gandhi In Lok Sabha,2025-03-22,297,8,News & Politics,0,25,YoutubeAPI,60
"Kunal Kamra's Modified Song Sparks Controversy, Shiv Sena Workers Vandalise Comedy Club",2025-03-22,2205,17,News & Politics,15,25,YoutubeAPI,62
LIVE: Visuals Of Burnt Pile Of Cash At Delhi High Court Judge Yashwant Varma's Residence,2025-03-22,2731,28,News & Politics,0,25,YoutubeAPI,63
