Title,Published_date,Views,Likes,Categories,Comments,Category_id,Source,Title_id
Voters confront GOP lawmaker over Trump's moves at tense town hall,2024-11-20,7365,1023,News & Politics,116,25,YoutubeAPI,0
Israel breaks ceasefire with Hamas,2024-11-20,1362,100,News & Politics,47,25,YoutubeAPI,1
Judge scolds Trump admin. in tense hearing over deportation orders,2024-11-20,90784,3081,News & Politics,2619,25,YoutubeAPI,2
See rare footage of snow leopards in Pakistan,2024-11-20,3971,538,News & Politics,20,25,YoutubeAPI,3
Ceasefire shatters as Israel pounds Gaza with wave of deadly strikes,2024-11-20,50010,946,News & Politics,1230,25,YoutubeAPI,4
CNN uncovers atrocities in Syrian town,2024-11-20,3869,282,News & Politics,33,25,YoutubeAPI,5
"'Don't try me today, Scotty': Cari Champion & Scott Jennings debate new poll",2024-11-20,66776,1201,News & Politics,1156,25,YoutubeAPI,6
Ana Navarro: Autopen conspiracies are Trump’s retribution for Biden’s pardons,2024-11-20,39902,585,News & Politics,710,25,YoutubeAPI,7
Five Years Later: What We Know About Long Covid,2024-11-20,2899,59,News & Politics,63,25,YoutubeAPI,8
White House doubles down on ignoring judge’s order,2024-11-20,21046,648,News & Politics,140,25,YoutubeAPI,9
Timeline of Trump’s controversial deportation flights,2024-11-20,23225,793,News & Politics,150,25,YoutubeAPI,10
Video shows missing US student at hotel bar,2024-11-20,32188,732,News & Politics,57,25,YoutubeAPI,11
Kinzinger tells Trump to ‘bring it on’ after calling his pardon void,2024-11-20,24678,1314,News & Politics,115,25,YoutubeAPI,12
Hear what Kinzinger thinks about Trump calling his pardon void,2024-11-20,434441,8056,News & Politics,3772,25,YoutubeAPI,13
What tariffs could cost this Vermont farmer,2024-11-20,29277,2591,People & Blogs,535,22,YoutubeAPI,14
Fareed on Trump admin’s ‘war on colleges’,2024-11-20,30260,1466,News & Politics,101,25,YoutubeAPI,15
What to know about Trump and Putin’s anticipated phone call,2024-11-20,29337,216,News & Politics,188,25,YoutubeAPI,16
Kasie Hunt presses Stephen Miller about whether White House ignored judge's deportation order,2024-11-20,191637,2384,News & Politics,5564,25,YoutubeAPI,17
White House defends deportation flight despite judge order,2024-11-20,92688,2689,News & Politics,1154,25,YoutubeAPI,18
Fisherman rescued after 95 days lost at sea,2024-11-20,8532,372,News & Politics,20,25,YoutubeAPI,19
Did Trump defy a court order? Hear what Elie Honig thinks,2024-11-20,95320,1378,News & Politics,1718,25,YoutubeAPI,20
Trump and Putin to hold call on Ukraine,2024-11-20,85017,689,News & Politics,1189,25,YoutubeAPI,21
'Not in the constitution': Trump's unpardoning argument,2024-11-20,27347,942,News & Politics,232,25,YoutubeAPI,22
‘Stop this nonsense’: Toronto’s mayor on Trump’s trade war,2024-11-20,186061,2242,News & Politics,2237,25,YoutubeAPI,23
Hear legal expert react to Trump’s declaration about Biden’s pardons,2024-11-20,852774,9826,News & Politics,7326,25,YoutubeAPI,24
Tornado in Alabama throws farm buildings into the air,2024-11-20,32869,989,News & Politics,168,25,YoutubeAPI,25
Reporter asks Trump if he defied judge's court order,2024-11-20,337385,4365,News & Politics,3965,25,YoutubeAPI,26
Retired general reacts to US strikes on Iran-backed Houthis,2024-11-20,279466,2600,News & Politics,1727,25,YoutubeAPI,27
Jasmine Crockett reacts to CNN poll showing Democrats’ favorability at an all-time low,2024-11-20,495112,9533,News & Politics,5835,25,YoutubeAPI,28
Protesters gather outside Tesla showroom,2024-11-20,483897,35923,News & Politics,3969,25,YoutubeAPI,29
